,Loudness_sma3,Loudness_sma3,alphaRatio_sma3,alphaRatio_sma3,hammarbergIndex_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope0-500_sma3,slope500-1500_sma3,slope500-1500_sma3,F0semitoneFrom27.5Hz_sma3nz,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2frequency_sma3nz,F2amplitudeLogRelF0_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3frequency_sma3nz,F3amplitudeLogRelF0_sma3nz,F3amplitudeLogRelF0_sma3nz
,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other
64,0.19336468,0.19333665,-14.258527,-14.255722,22.42505,22.412766,-0.033261165,-0.033262223,0.010684021,0.010710992,,,,,,,,,,,,,1116.5787,1116.2638,1232.7441,1231.98,,,1937.3578,1936.7178,,,3072.7312,3072.1921,,
65,0.18986392,0.18978424,-14.009026,-14.01237,22.55604,22.552,-0.036117833,-0.036154542,0.01309327,0.013097748,,,,,,,,,,,,,1134.0825,1133.9136,1307.5167,1307.3375,,,1893.1478,1893.066,,,2966.873,2967.2585,,
66,0.18227406,0.18214762,-15.662913,-15.675034,25.881556,25.890327,-0.03864585,-0.038687635,0.017775185,0.017776662,,,,,,,,,,,,,997.1513,997.2549,1359.8148,1358.9916,,,1813.1567,1813.623,,,2883.087,2883.555,,
67,0.17078607,0.1706388,-17.263615,-17.28209,30.114511,30.14097,-0.047416974,-0.04747438,0.020096827,0.020061167,,,,,,,,,,,,,734.111,734.9471,1494.3507,1492.6567,,,1565.735,1566.4996,,,2648.5999,2649.8972,,
68,0.16698171,0.16695797,-15.679666,-15.694797,26.230707,26.246378,-0.033405267,-0.033420626,0.014266044,0.014244113,,,,,,,,,,,,,706.7851,538.4097,2053.7546,2434.375,,,1577.1558,1489.7552,,,2343.3196,2374.0574,,
69,0.1689616,0.16893655,-15.066377,-15.077202,24.940508,24.963545,-0.025511565,-0.025521308,0.012863479,0.012852619,,,,,,,,,,,,,726.99615,558.36426,2123.11,2500.147,,,1614.6875,1527.0367,,,2491.8713,2520.7385,,
70,0.19998188,0.19997625,-14.225347,-14.233562,21.479185,21.486155,-0.019511243,-0.019515065,0.0038708958,0.0038649922,,,,,,,,,,,,,758.7138,589.7385,1998.5743,2378.1865,-136.80284,-136.80354,1638.5504,1550.7223,-146.5708,-146.55673,2469.7043,2497.6404,-141.40645,-141.40723
71,0.24373634,0.24368751,-15.6260605,-15.631381,22.580057,22.589243,-0.0195146,-0.019527927,-0.002068859,-0.002074615,37.029144,37.029114,,,,,6.7872524,6.786088,11.040752,11.04458,16.069792,16.065989,695.31476,695.6115,1452.5254,1449.4098,-75.96027,-75.96313,1663.2435,1663.5968,-89.75332,-89.73466,2754.3467,2752.4277,-82.89129,-82.890076
72,0.29024053,0.29017177,-15.515625,-15.516597,19.529337,19.526848,-0.019747397,-0.019741366,-0.00880909,-0.008829936,37.008198,37.008167,,,,,7.911261,7.9101224,11.382697,11.386814,18.074942,18.069841,768.7744,765.7375,2010.0524,2018.9199,-20.726645,-20.750238,1605.7437,1605.8029,-34.045017,-34.032925,2452.8416,2452.6594,-25.247187,-25.243805
73,0.3167421,0.31666192,-17.501318,-17.498934,21.045517,21.043085,-0.010754428,-0.010742261,-0.016251015,-0.016238289,36.95486,36.954845,0.05782608,0.057860218,3.4329805,3.4371336,9.566712,9.566055,12.096824,12.101303,21.949648,21.943316,850.0676,846.8384,1974.9596,1983.0863,-23.942703,-23.967224,1803.1827,1802.8405,-31.062109,-31.063276,2617.796,2617.7085,-28.045507,-28.040426
