start,end,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3amplitudeLogRelF0_sma3nz
0 days 00:00:02.660000,0 days 00:00:02.680000,0.3327029,-12.917346,23.014986,-0.038359392,-0.0007108816,0.0,0.0,0.0,0.0,0.0,0.0,374.1586,1309.1376,-136.031,1321.5736,-139.28001,2327.9626,-140.74434
0 days 00:00:02.670000,0 days 00:00:02.690000,0.3552904,-13.581642,21.603706,-0.037409637,-0.010993588,0.0,0.0,0.0,0.0,0.0,0.0,417.23746,1209.319,-201.0,1364.3119,-201.0,2333.0957,-201.0
0 days 00:00:02.680000,0 days 00:00:02.700000,0.39536425,-13.676345,20.713928,-0.042780053,-0.016909493,0.0,0.0,0.0,0.0,0.0,0.0,425.92618,1152.9874,-201.0,1396.0024,-201.0,2419.6604,-201.0
0 days 00:00:02.690000,0 days 00:00:02.710000,0.41807747,-13.777786,19.981264,-0.043254554,-0.016394848,0.0,0.0,0.0,0.0,0.0,0.0,418.3318,1121.7208,-201.0,1439.815,-201.0,2481.8076,-201.0
0 days 00:00:02.700000,0 days 00:00:02.720000,0.42871368,-11.455528,17.083204,-0.02822479,-0.01709948,0.0,0.0,0.0,0.0,0.0,0.0,393.6744,1107.9227,-201.0,1453.9926,-201.0,2616.84,-201.0
0 days 00:00:02.710000,0 days 00:00:02.730000,0.4111716,-10.433316,15.3394785,-0.028119795,-0.0062624714,0.0,0.0,0.0,0.0,0.0,0.0,316.85184,1252.8707,-201.0,1397.4781,-201.0,2615.9182,-201.0
0 days 00:00:02.720000,0 days 00:00:02.740000,0.40366006,-11.293049,16.86603,-0.031863865,-0.005471343,0.0,0.0,0.0,0.0,0.0,0.0,260.37598,1367.1357,-135.05779,1387.0908,-140.30226,2602.8826,-141.44716
0 days 00:00:02.730000,0 days 00:00:02.750000,0.39743444,-12.855998,18.296783,-0.051676292,-0.0046930932,13.021334,0.0,0.0,-9.312332,3.81239,23.682638,265.50742,1331.2583,-135.0578,1432.3837,-140.30226,2520.2517,-141.44716
0 days 00:00:02.740000,0 days 00:00:02.760000,0.38781962,-10.848254,16.11489,-0.043135345,-0.0105847,13.80965,0.0,0.0,-8.412563,0.0,0.0,324.37924,1168.7003,-135.0578,1467.2515,-140.30226,2520.595,-141.44716
0 days 00:00:02.750000,0 days 00:00:02.770000,0.35450014,-10.997517,16.795446,-0.04301529,-0.014010313,14.587223,0.0,0.0,-5.8775864,0.0,0.0,378.20178,996.1198,-131.4168,1465.3643,-137.05515,2535.639,-140.50465
0 days 00:00:02.760000,0 days 00:00:02.780000,0.34080032,-13.703961,21.17795,-0.038850214,-0.017642582,17.864466,0.0,0.0,-1.8726505,2.5687919,29.21834,391.33762,1017.7285,-63.50276,1454.7334,-76.796005,2639.954,-81.349144
0 days 00:00:02.770000,0 days 00:00:02.790000,0.33937463,-17.201738,26.259317,-0.037582915,-0.023738176,20.317213,0.0,0.0,1.5650526,6.749512,29.949585,396.04736,1112.9498,5.270695,1480.3949,-15.042915,2543.467,-21.398506
0 days 00:00:02.780000,0 days 00:00:02.800000,0.36483148,-19.88112,29.057386,-0.01908344,-0.024852173,22.627848,0.0,0.0,3.1395588,14.637866,31.13725,386.3451,1185.9573,6.5024095,1494.3698,-16.204939,2529.501,-19.750196
0 days 00:00:02.790000,0 days 00:00:02.810000,0.36859202,-19.458273,28.40017,-0.0075390935,-0.01893621,22.411936,0.0,0.2784864,3.2167814,19.000326,30.040686,379.41397,1171.8165,10.96627,1458.9961,-12.08631,2396.9333,-14.943108
0 days 00:00:02.800000,0 days 00:00:02.820000,0.3774804,-20.410036,28.575693,0.011187705,-0.011990402,22.167173,0.037283905,0.0,2.500818,21.3872,29.522171,375.7096,1109.7324,13.779944,1419.7584,-10.914265,2452.1838,-12.470207
0 days 00:00:02.810000,0 days 00:00:02.830000,0.3793033,-19.935516,26.250244,0.010527282,-0.014341916,21.996948,0.035505384,1.6126387,1.8420898,23.813133,29.184294,371.18484,1065.4738,12.59364,1398.187,-14.046562,2430.2717,-13.978629
0 days 00:00:02.820000,0 days 00:00:02.840000,0.38862193,-20.87438,25.699167,0.002892309,-0.023854531,19.496552,0.1298697,1.3133885,0.97143835,12.980354,28.886223,379.00427,1061.4849,9.668649,1419.3822,-18.995949,2454.3428,-19.303999
0 days 00:00:02.830000,0 days 00:00:02.850000,0.37333742,-21.63935,25.182123,-0.01509018,-0.025385201,16.981436,0.13121986,0.84856385,0.106244326,3.237915,27.494635,383.3929,1043.5663,6.7945933,1430.9058,-22.918085,2456.1313,-22.78477
0 days 00:00:02.840000,0 days 00:00:02.860000,0.34832358,-23.606369,27.39711,-0.009752989,-0.022683421,14.399986,0.18085563,0.35124168,-1.820807,-6.34084,26.311544,389.33984,1075.562,5.3338447,1443.0006,-22.466085,2461.1467,-24.491186
