start,end,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0 days 00:00:08.400000,0 days 00:00:08.420000,0.5603125,-8.251025,10.191483,0.024126677,-0.027162163,0.11596795,29.91207,-12.927669,36.311207,-9.766398,34.049786,0.003008282,0.41201124,7.3667083,-3.039613,10.347294,411.83984,962.1431,-1.9877578,1606.2303,645.9416,-27.01149,2307.5193,1198.5199,-12.3350525
0 days 00:00:08.410000,0 days 00:00:08.430000,0.5145245,-10.306995,11.774148,-0.0024009608,-0.027611038,0.13189663,29.886278,-6.4412136,40.20786,-10.378324,34.07831,0.0030175343,0.42667142,7.6830373,0.021328768,15.156624,433.56726,989.18756,-1.8875923,1682.391,698.35376,-30.301474,2340.8506,1405.8228,-17.044218
0 days 00:00:08.420000,0 days 00:00:08.440000,0.46878076,-12.77579,14.885648,-0.016944056,-0.024417942,0.16241117,29.643,-0.263357,40.525974,-12.668023,34.12553,0.0040405015,0.61492616,8.455696,3.4405766,22.760649,452.01562,1071.33,-1.7540574,1659.6466,1726.0133,-31.559883,2206.7102,1205.9698,-24.514704
0 days 00:00:08.430000,0 days 00:00:08.450000,0.43291423,-14.7057085,17.369339,-0.0016213121,-0.023023933,0.15032513,29.792574,3.7878063,37.452282,-15.757774,34.172943,0.006565336,0.7859366,8.723118,7.180819,26.32345,568.10986,1263.1704,-9.709388,1795.0482,1696.459,-29.995752,2484.573,1121.6224,-28.097918
0 days 00:00:08.440000,0 days 00:00:08.460000,0.3995429,-16.334433,20.308723,0.012767318,-0.01747861,0.12933491,29.031874,6.949327,34.77852,-16.513536,34.174194,0.007376473,0.81434816,8.134884,11.0946,27.267935,713.27856,1521.8939,-17.426325,1820.7223,1828.7308,-30.919989,2593.8542,746.104,-29.40478
0 days 00:00:08.450000,0 days 00:00:08.470000,0.36259934,-17.826788,22.962976,0.00799993,-0.0077336575,0.112137444,29.875692,8.060285,32.804222,-11.401372,34.11403,0.009215341,0.7050474,7.2688384,18.558699,24.369818,595.9083,1843.0277,-25.316734,1793.7665,1439.892,-31.7259,2696.5696,974.4134,-27.033163
0 days 00:00:08.460000,0 days 00:00:08.480000,0.32017407,-18.978151,23.675325,-0.012060933,-0.0004960256,0.10270405,30.3818,8.438399,30.406698,-4.13765,34.052486,0.0094754845,0.7381447,6.880338,20.840075,22.496923,475.23474,1765.8711,0.0,1690.2504,1641.8038,-32.015217,2486.9812,1055.849,-25.47062
0 days 00:00:08.470000,0 days 00:00:08.490000,0.2843768,-19.640167,25.423304,-0.019628232,0.004602753,0.0981949,30.805666,8.964509,27.215385,4.6591916,34.070522,0.02091219,1.079873,7.137024,22.796606,22.188744,238.04402,1761.7128,-2.9637508,1510.3544,1711.6592,-29.862604,2393.4133,1049.8021,-24.850159
0 days 00:00:08.480000,0 days 00:00:08.500000,0.26538694,-18.99314,23.718817,-0.010153278,0.0063529923,0.08460782,30.323746,8.943084,25.359299,12.547023,34.143475,0.032296132,1.1587816,7.528004,20.850252,25.856253,464.22217,1603.5869,0.0,1653.6967,1121.9342,-26.75588,2557.0984,1018.2502,-27.479399
0 days 00:00:08.490000,0 days 00:00:08.510000,0.26660952,-17.390993,22.221832,-0.00051929365,0.010074322,0.07670587,29.771912,8.284784,24.23548,19.35599,34.158115,0.055936825,0.9926365,8.07246,22.542181,27.040762,468.0602,1648.0819,-12.911367,1598.8702,1169.9052,-26.341232,2478.4165,1158.9095,-27.13697
0 days 00:00:08.500000,0 days 00:00:08.520000,0.27704254,-17.470764,21.641066,0.0065272264,0.010168369,0.065146856,30.754316,8.900489,20.663767,21.585989,34.042847,0.04326417,0.7341028,8.33299,22.79362,33.44958,555.14386,1593.0742,-8.003801,1743.9005,1047.0205,-25.647257,2706.1443,1244.2513,-32.34351
0 days 00:00:08.510000,0 days 00:00:08.530000,0.2843956,-17.757843,23.167381,0.009017193,0.011839184,0.07505506,31.299524,8.524702,16.500273,21.806303,33.80782,0.037010726,0.81702775,7.929404,21.39924,32.49417,414.57898,1473.2936,1.3191482,1576.4635,1183.3247,-27.442421,2496.3914,1204.129,-31.175024
0 days 00:00:08.520000,0 days 00:00:08.540000,0.28168353,-19.136778,28.663286,0.007572759,0.01267529,0.0740797,32.341232,9.752498,10.74952,18.799494,33.676296,0.01379312,1.0700341,7.5445004,20.548042,36.484398,391.6268,1418.3193,-66.21987,1508.4918,1010.2215,-85.888824,2637.829,947.49066,-90.54281
0 days 00:00:08.530000,0 days 00:00:08.550000,0.27339295,-19.952343,30.688385,0.0007892673,0.010319457,0.08263933,32.723377,11.878888,8.387874,18.68159,0.0,0.0,0.0,0.0,0.0,0.0,374.25027,1297.5527,-133.82365,1429.5817,1043.6436,-143.79195,2477.17,1028.7601,-144.55975
0 days 00:00:08.540000,0 days 00:00:08.560000,0.25528565,-19.889206,31.69449,-0.008725514,0.0040033697,0.08561645,33.020008,13.701795,5.527736,17.66838,0.0,0.0,0.0,0.0,0.0,0.0,349.3016,1362.3915,-201.0,1460.1849,1000.53534,-201.0,2592.7195,1115.7567,-201.0
0 days 00:00:08.550000,0 days 00:00:08.570000,0.23098534,-19.23927,29.97682,-0.021127066,0.004511611,0.08872657,31.26722,15.001327,6.719874,18.590988,0.0,0.0,0.0,0.0,0.0,0.0,654.10516,1382.1265,-201.0,1788.7836,1191.8265,-201.0,2743.133,1291.1667,-201.0
